instr.;opcode;dez;mnemonic;register;needs ea;read;write;addr.mode;H;N;Z;V;C;desc;category
ST;$dd;221;STD;REG_D;yes;;WORD;DIRECT;-;a;a;0;-;M:M+1 = D;16-Bit Accumulator and Memory Instructions Instruction
ST;$fd;253;STD;REG_D;yes;;WORD;EXTENDED;-;a;a;0;-;M:M+1 = D;16-Bit Accumulator and Memory Instructions Instruction
ST;$ed;237;STD;REG_D;yes;;WORD;INDEXED;-;a;a;0;-;M:M+1 = D;16-Bit Accumulator and Memory Instructions Instruction
ST;$10df;4319;STS;REG_S;yes;;WORD;DIRECT;-;a;a;0;-;M:M+1 = S;Index/Stack Pointer Instructions
ST;$10ff;4351;STS;REG_S;yes;;WORD;EXTENDED;-;a;a;0;-;M:M+1 = S;Index/Stack Pointer Instructions
ST;$10ef;4335;STS;REG_S;yes;;WORD;INDEXED;-;a;a;0;-;M:M+1 = S;Index/Stack Pointer Instructions
ST;$df;223;STU;REG_U;yes;;WORD;DIRECT;-;a;a;0;-;M:M+1 = U;Index/Stack Pointer Instructions
ST;$ff;255;STU;REG_U;yes;;WORD;EXTENDED;-;a;a;0;-;M:M+1 = U;Index/Stack Pointer Instructions
ST;$ef;239;STU;REG_U;yes;;WORD;INDEXED;-;a;a;0;-;M:M+1 = U;Index/Stack Pointer Instructions
ST;$9f;159;STX;REG_X;yes;;WORD;DIRECT;-;a;a;0;-;M:M+1 = X;Index/Stack Pointer Instructions
ST;$bf;191;STX;REG_X;yes;;WORD;EXTENDED;-;a;a;0;-;M:M+1 = X;Index/Stack Pointer Instructions
ST;$af;175;STX;REG_X;yes;;WORD;INDEXED;-;a;a;0;-;M:M+1 = X;Index/Stack Pointer Instructions
ST;$109f;4255;STY;REG_Y;yes;;WORD;DIRECT;-;a;a;0;-;M:M+1 = Y;Index/Stack Pointer Instructions
ST;$10bf;4287;STY;REG_Y;yes;;WORD;EXTENDED;-;a;a;0;-;M:M+1 = Y;Index/Stack Pointer Instructions
ST;$10af;4271;STY;REG_Y;yes;;WORD;INDEXED;-;a;a;0;-;M:M+1 = Y;Index/Stack Pointer Instructions
SUB;$90;144;SUBA;REG_A;;BYTE;;DIRECT;u;a;a;a;a;A = A - M;8-Bit Accumulator and Memory Instructions
SUB;$b0;176;SUBA;REG_A;;BYTE;;EXTENDED;u;a;a;a;a;A = A - M;8-Bit Accumulator and Memory Instructions
SUB;$80;128;SUBA;REG_A;;BYTE;;IMMEDIATE;u;a;a;a;a;A = A - M;8-Bit Accumulator and Memory Instructions
SUB;$a0;160;SUBA;REG_A;;BYTE;;INDEXED;u;a;a;a;a;A = A - M;8-Bit Accumulator and Memory Instructions
SUB;$d0;208;SUBB;REG_B;;BYTE;;DIRECT;u;a;a;a;a;B = B - M;8-Bit Accumulator and Memory Instructions
SUB;$f0;240;SUBB;REG_B;;BYTE;;EXTENDED;u;a;a;a;a;B = B - M;8-Bit Accumulator and Memory Instructions
SUB;$c0;192;SUBB;REG_B;;BYTE;;IMMEDIATE;u;a;a;a;a;B = B - M;8-Bit Accumulator and Memory Instructions
SUB;$e0;224;SUBB;REG_B;;BYTE;;INDEXED;u;a;a;a;a;B = B - M;8-Bit Accumulator and Memory Instructions
SUB;$93;147;SUBD;REG_D;;WORD;;DIRECT_WORD;-;a;a;a;a;D = D - M:M+1;16-Bit Accumulator and Memory Instructions Instruction
SUB;$b3;179;SUBD;REG_D;;WORD;;EXTENDED_WORD;-;a;a;a;a;D = D - M:M+1;16-Bit Accumulator and Memory Instructions Instruction
SUB;$83;131;SUBD;REG_D;;WORD;;IMMEDIATE_WORD;-;a;a;a;a;D = D - M:M+1;16-Bit Accumulator and Memory Instructions Instruction
SUB;$a3;163;SUBD;REG_D;;WORD;;INDEXED_WORD;-;a;a;a;a;D = D - M:M+1;16-Bit Accumulator and Memory Instructions Instruction
SWI;$3f;63;SWI;;;;;INHERENT;-;-;-;-;-;Software interrupt 1;Miscellaneous Instructions
SWI;$103f;4159;SWI2;;;;;INHERENT;-;-;-;-;-;Software interrupt 2;Miscellaneous Instructions
SWI;$113f;4415;SWI3;;;;;INHERENT;-;-;-;-;-;Software interrupt 3;Miscellaneous Instructions
SYNC;$13;19;SYNC;;;;;INHERENT;-;-;-;-;-;Synchronize to Interrupt;Miscellaneous Instructions
TFR;$1f;31;TFR;;;BYTE;;IMMEDIATE;c;c;c;c;c;;8-Bit Accumulator and Memory Instructions
TST;$0d;13;TST;;;BYTE;;DIRECT;-;a;a;0;-;Test M;8-Bit Accumulator and Memory Instructions
TST;$7d;125;TST;;;BYTE;;EXTENDED;-;a;a;0;-;Test M;8-Bit Accumulator and Memory Instructions
TST;$6d;109;TST;;;BYTE;;INDEXED;-;a;a;0;-;Test M;8-Bit Accumulator and Memory Instructions
TST;$4d;77;TSTA;REG_A;;;;INHERENT;-;a;a;0;-;Test A;8-Bit Accumulator and Memory Instructions
TST;$5d;93;TSTB;REG_B;;;;INHERENT;-;a;a;0;-;Test B;8-Bit Accumulator and Memory Instructions
